x1,x2,x3,x4,x5,categoria
-9.0481,-0.7120,1.5538,-2.6261,-1.2270,A
8.7651,-9.4219,9.8557,7.6441,-6.8382,A
-0.6880,6.4514,-3.1865,1.2958,-2.2926,A
8.4326,-2.0217,-1.0084,-1.3475,0.5851,B
8.5464,1.8999,-9.6308,1.5405,-8.9673,A
-5.3027,8.7978,-9.8067,9.6685,-7.3278,A
-4.5171,-2.6436,6.4955,8.2514,5.4346,A
-4.5239,7.2610,-1.1002,-8.6781,-0.0468,B
-9.0597,-1.7400,0.9113,-6.5357,-8.8899,A
8.1219,3.2698,-1.6076,5.1058,-3.1949,A
5.2743,1.7898,-4.0393,5.0590,-1.9438,A
2.6394,1.7556,0.5204,5.6214,-7.2229,A
-9.1723,-8.9989,-0.7058,-6.9169,4.6359,A
-2.8602,-1.2778,-7.1798,-1.0047,7.1895,B
2.2186,-9.3751,1.7996,5.6946,1.9413,A
-2.8179,4.3357,9.6464,-0.6379,-8.8064,A
6.2840,2.9871,3.1068,-3.9669,0.4161,B
2.5512,8.0417,-3.9157,-7.0340,-8.1700,B
-9.0885,-6.0002,-1.6242,-5.1553,6.3799,A
-6.1920,-3.1284,7.6808,6.2181,-3.1602,A
4.3005,-5.3119,9.0279,9.3747,-1.0961,A
-9.7544,8.0777,-9.7397,-7.2014,7.2454,B
8.2105,7.1517,-4.8204,9.3364,4.1856,B
-4.3346,-7.5378,-6.4331,-8.7500,7.0863,B
6.1799,7.6065,9.7721,3.2413,-9.3366,B
-5.3297,-7.0052,1.6726,-0.4507,8.6488,A
-2.1538,-8.7911,-9.5234,6.2122,2.7045,A
-6.1846,8.1292,1.1777,2.1585,8.4124,B
-8.9882,6.8850,9.5601,-4.4583,0.8220,B
-1.5282,-8.6294,0.0870,7.9114,-6.8623,A
-5.7145,0.9348,-9.1078,-5.0805,-0.9472,A
5.3462,-4.3820,-6.7582,-8.5172,7.0192,B
5.4055,-5.4777,-1.9701,-1.5232,5.6052,B
-2.8154,-5.6554,8.5057,0.3265,-0.0176,A
5.1024,-0.8672,4.0769,-6.3536,-3.7893,B
-0.5164,2.6889,3.7661,-8.3692,-7.7601,B
8.5429,6.7278,-7.5853,-4.2656,-6.2193,B
1.9756,-4.3739,1.1997,-8.2778,-9.4402,B
-5.7459,-0.3396,3.3078,5.6727,-3.2061,A
-1.8401,2.2608,8.9527,-9.9047,-3.4359,B
4.5210,8.1904,7.5625,-2.5697,-9.3793,B
-9.9743,-6.8852,-9.4768,-9.6957,-6.5221,A
-1.5919,1.0092,7.6751,-0.5201,3.7366,B
6.0247,-3.5365,4.4291,3.8439,-8.0666,A
6.1955,-2.3518,-5.6272,-6.8686,8.6960,B
-4.3712,5.5122,6.4777,8.7014,2.1582,A
-6.3886,-8.0150,-8.5815,4.4773,5.9820,A
5.7522,-7.4825,-1.4713,-9.3241,-3.5502,B
-1.5512,-3.2017,7.3019,9.8036,-1.8620,A
-3.0549,7.2467,-9.3584,5.8302,-8.1984,A
-5.5104,7.4635,-6.4396,-1.1922,-2.3092,A
-6.3017,-1.2244,2.7857,3.5926,-9.8708,A
-3.6121,4.8488,-4.0012,5.5754,-3.2759,A
4.5926,-5.9623,9.3252,0.0643,7.7599,B
-6.8325,5.2370,-1.9112,-2.5222,4.7430,B
0.9206,8.6134,-8.4424,-9.7747,-6.3320,B
4.2930,-0.9689,4.3326,9.0828,-0.1219,A
4.1783,-7.5291,6.1790,-5.9423,9.1242,B
7.9545,5.3100,-5.2793,7.8117,3.9140,B
2.2491,-7.6077,5.0805,6.8965,1.7660,A
-5.1937,-7.6997,4.5730,-8.1361,4.0909,B
3.4867,-9.9335,0.1187,0.5671,-0.0979,A
-5.9639,-7.3856,2.9324,4.0121,-1.5805,A
-9.2604,7.1815,-5.9307,-6.1177,-0.4057,B
8.8233,-4.6913,-3.6618,-0.9744,3.6569,B
7.1887,-7.9064,4.0997,9.3910,4.6873,A
-3.8100,-7.4847,-6.9190,-5.8460,-3.3655,A
8.5213,-9.2954,5.0053,-5.9128,-3.8235,B
-3.2831,-7.6841,0.8838,8.3866,8.3502,A
1.6957,4.4394,2.0636,-3.0836,-5.5814,B
9.0437,-8.5611,-2.9049,-9.2762,-3.4066,B
1.8696,-9.7121,-9.4226,-6.3000,9.7470,B
-8.0568,-6.8831,8.4437,7.4020,0.3701,A
-3.1136,-2.1269,-8.3253,-1.0547,-4.5791,A
-8.4262,-7.2082,5.9914,7.4406,-2.6911,A
5.3482,7.4706,6.7729,-8.7011,-4.5117,B
4.1763,-3.1467,1.2043,8.1472,-9.9260,A
9.1058,0.4449,9.1878,1.1594,1.0354,B
5.1289,4.5033,-5.8575,5.8229,-3.2824,A
4.9329,-6.2944,4.1660,0.1496,-6.3309,A
1.0957,-7.9560,-2.2378,3.2085,-5.1261,A
7.9189,4.7274,-8.7430,-0.2080,5.5937,B
-8.1212,-5.6056,-3.5942,-2.7867,-9.6552,A
-2.0820,0.1849,-3.4713,-4.8288,-7.1200,A
5.4992,4.8066,7.1161,-5.4883,1.1119,B
3.2367,-0.5838,1.4016,-1.8566,-8.3536,A
7.1620,3.1883,-4.2023,-7.9205,4.9099,B
-1.9109,-3.8058,1.5940,-1.5741,2.2312,A
9.5536,-6.5076,9.4601,3.5346,-4.1820,A
8.2079,3.7654,-8.0497,9.5188,7.7911,B
6.5228,6.4631,-2.7232,-7.3006,3.6986,B
3.3043,-5.9741,0.0866,0.1374,5.2193,B
-0.7497,5.5658,-0.5715,5.3796,-9.7116,A
9.4713,-6.7288,-7.5309,3.5913,-0.0906,A
-2.3386,1.8787,-9.5009,-1.6624,9.8649,B
4.2930,-1.0138,0.1465,9.8960,7.5031,A
-2.3405,3.9967,2.7134,-7.3165,8.3082,B
-6.4365,-4.6870,-5.3454,4.4950,-8.9312,A
-9.0313,-4.0863,1.4205,-2.1512,-9.4507,A
-7.9044,-7.5414,-8.9678,-4.0978,-9.2790,A
-8.4314,-1.6906,1.4212,9.2326,1.9538,A
3.8438,5.9401,-7.3902,-1.2797,-3.5455,B
-4.8580,-8.1083,2.2529,-0.9790,-2.3741,A
9.0503,0.1216,-0.8156,8.1749,8.8305,B
-6.2317,-5.2260,-0.9317,-2.7065,-9.4925,A
6.7425,4.3323,-0.1184,1.7933,-5.9296,B
1.3150,-4.8513,8.4436,-5.6558,-3.1256,B
4.2852,-4.9536,7.4465,-4.4260,6.6255,B
8.9438,-6.3987,-0.3586,-7.1797,-7.4894,B
-8.7297,4.6782,-4.4904,-2.3182,-1.6208,A
0.8571,-2.3667,7.1106,2.8974,-6.6703,A
-5.8435,-1.9984,-0.4874,-0.8186,6.0186,A
-2.2895,5.9422,-8.7002,-8.5589,7.4699,B
-1.2321,-8.8543,-7.6227,-6.6108,1.4073,A
1.4884,-2.3187,-7.6911,-9.6531,8.1455,B
-1.2405,1.5830,3.9002,-1.4513,-3.6675,A
1.0011,6.2878,9.0484,-3.1418,0.0385,B
0.7507,3.7597,5.6846,-4.1744,4.9728,B
-1.6600,-6.8826,-1.2308,4.9345,0.6459,A
-0.6475,-9.5386,6.7099,0.2376,-3.8060,A
6.3927,-2.4293,5.9458,-9.4844,7.8809,B
-2.9902,4.2470,-4.8700,-4.7660,-3.2465,B
-5.7119,-9.3201,-2.4575,-9.7050,-7.6193,A
4.3345,2.9063,-3.1804,-8.4448,6.9192,B
3.3593,-9.7005,-5.9142,4.5363,-5.9315,A
-5.0096,-7.7973,-2.0480,3.5364,6.1474,A
2.7620,-7.1175,7.2740,-5.3465,9.5520,B
6.9600,-9.0447,3.6439,-9.7938,-4.0964,B
2.0698,6.4633,-3.1256,5.1136,-4.1522,A
8.0261,-6.3419,-6.1364,-7.2331,4.9174,B
9.8561,-1.6104,3.2887,6.7558,9.7389,B
-6.4166,6.6641,-9.1874,0.0708,5.5662,A
4.3988,-5.2496,1.8068,-7.9922,-7.2237,B
-3.6290,-9.9235,9.0902,6.3528,-3.7580,A
8.0397,0.8272,-8.4848,-2.0738,-2.6730,B
3.3706,7.8478,1.5500,1.3402,-8.0927,A
-9.6934,-3.5433,-9.5997,-2.4280,-4.1342,A
-0.6946,-6.5457,-3.2506,-9.0851,-9.3524,A
3.9466,-4.6075,-6.5262,-3.2250,8.1525,B
-6.0797,-2.0107,-3.9809,-6.2504,6.1995,B
-4.7393,-2.5448,5.7535,4.5266,-7.4495,A
4.6266,9.9412,-4.8328,-7.8466,-6.9958,B
-6.1770,7.3058,1.3950,-8.6813,-8.8227,B
5.3759,8.3846,4.8796,-6.9989,2.6613,B
7.2557,7.7347,4.3484,1.2086,-9.0085,B
9.2100,9.0188,1.0229,-2.4606,-2.3480,B
-4.6829,4.2355,-2.5262,-7.3554,-3.1249,B
2.5244,5.7396,-1.8481,-0.7947,1.8131,B
-5.0572,2.1497,-4.9242,3.1892,6.2364,A
-3.2491,8.2860,9.6329,2.3337,-8.7151,A
-0.9698,-1.7960,0.4442,-5.9136,7.5431,B
-7.4245,0.7781,6.1734,-5.6696,-4.1209,A
3.7131,-1.4536,2.8371,-3.1274,8.5937,B
8.7515,-5.7595,1.7730,3.6178,-7.9376,A
-2.0095,8.5290,3.0557,1.2676,6.4099,B
-3.5788,5.0903,-5.2174,-0.6417,8.6667,B
-5.7831,5.3724,-4.9064,3.8724,-0.8703,A
-3.5055,-7.9832,2.6914,-1.0577,-9.9913,A
-7.6545,-4.4883,-1.2543,-7.4167,-1.5725,A
-2.3704,5.8326,6.2204,-0.4835,0.4716,B
-6.8441,-5.9786,1.9088,2.7918,-0.9533,A
-7.2662,-1.4195,4.9548,5.1309,-5.1328,A
-0.1455,-6.4417,-7.4372,-2.2986,4.4786,A
1.8237,-3.8627,7.6408,8.2135,0.8122,A
1.7775,0.0010,1.0119,-1.8180,-5.6523,A
4.9461,0.3107,9.8631,0.0404,-8.4656,A
0.0245,6.7281,9.3784,-2.0148,5.2283,B
9.2167,8.0070,7.7410,4.0026,5.9823,B
1.7063,2.5671,2.0512,6.2075,8.1549,B
-5.9717,9.3920,8.1216,-5.5970,2.6149,B
-4.5231,-9.1779,7.4988,-1.6744,2.7923,A
1.8426,6.7783,-9.3512,-7.0069,-7.0167,B
0.0581,0.7033,0.5352,5.3882,6.9279,A
0.9861,6.9628,7.3875,-9.2900,3.7676,B
5.4617,7.0482,-4.5667,2.3291,0.5119,B
0.6565,9.8407,5.4426,9.3308,-2.7110,A
-6.6992,-4.1913,8.3344,5.8297,6.8750,A
-6.3630,-0.7644,3.6324,8.2436,-7.0693,A
-9.1378,2.1678,3.1603,-3.9877,-3.9508,A
-8.3074,6.9724,2.2625,8.6311,3.5069,A
-4.8958,-7.0459,2.1860,4.6760,-2.4192,A
4.0885,2.7857,-9.5412,9.8929,9.4429,A
-1.9051,-3.8049,2.2674,-9.5052,-0.1788,B
0.9718,6.9594,6.2848,1.8193,-7.1241,A
-4.2075,-3.2893,-8.1610,-3.1424,-7.2199,A
-3.4227,-7.3611,-0.8662,3.4962,4.1741,A
8.6298,5.5024,-5.5931,2.6578,6.9225,B
-2.9554,0.5725,-8.4125,2.3141,-6.9571,A
6.5721,0.8186,-3.6446,-2.6427,-8.4648,B
-9.1839,-7.1886,-7.7137,7.6969,0.4526,A
-3.7982,-4.2735,-9.1155,2.1296,5.4035,A
9.8025,0.2461,-8.4152,-2.1448,9.6183,B
-5.1963,-6.2305,7.7978,7.7750,-2.8171,A
9.2086,4.2107,2.1928,3.3254,-8.7577,A
8.4850,-3.7550,-1.2521,0.6544,-4.7684,A
-6.6716,6.8359,4.9638,8.4168,-4.5105,A
9.3181,5.3942,5.3088,4.4910,-8.2337,B
6.8729,-5.6778,-1.2389,1.1536,9.1964,B
-9.9745,-8.0255,0.3925,-5.1195,6.9999,A
5.0373,3.0765,8.9777,7.1151,2.5640,B
-8.0351,-7.2278,1.6306,-8.9607,8.8550,B
6.9609,-4.0761,7.8704,2.3966,0.6040,B
1.8548,9.5600,0.2404,-9.6175,-0.6069,B
-6.8004,7.3767,7.2622,-9.7446,3.2014,B
-4.4830,9.1759,-6.3668,-6.5976,6.0357,B
9.4308,-2.5913,5.7998,-8.3453,-0.2112,B
5.2919,2.6590,2.5531,7.0330,-8.9512,A
-7.9470,4.4567,-3.2314,-9.5611,-3.5890,B
1.5974,5.0064,-3.8169,-5.2694,8.1131,B
-8.6044,6.6321,-9.2297,9.1002,9.3008,A
3.8192,9.4572,-7.0928,-0.2970,7.6802,B
8.2251,-8.7250,8.0150,6.4543,2.2446,A
-2.0522,5.8135,-5.6427,5.7099,-8.0835,A
-9.0389,3.7605,5.7344,9.3167,-3.9974,A
7.9033,-9.1099,3.8826,5.4935,-2.3012,A
-1.7463,0.6874,-8.5521,7.6783,-7.1434,A
5.3799,6.7992,2.3176,9.8961,3.1609,A
8.3213,5.1496,7.0625,-1.6066,2.6967,B
-2.5960,4.0708,-9.1327,-4.4995,8.8284,B
5.3541,-1.8040,-7.4134,0.7217,8.7018,B
2.9869,-8.0270,-1.6967,-3.9752,-7.0573,A
8.6235,5.4037,6.9463,0.2190,-3.3168,B
4.7515,8.4155,4.3891,-2.7000,-2.1213,B
5.2708,8.8748,9.5947,-2.8749,0.0115,B
-8.7717,-4.7940,8.1577,-7.9664,-0.7105,A
-7.5016,1.2102,4.5665,-4.2638,7.9564,B
-0.2200,4.2225,-3.7239,1.1117,-1.7095,A
0.3291,-3.0878,6.4198,0.7679,-7.7138,A
-5.5708,9.6934,-9.6356,4.5890,-5.8597,A
1.2995,0.6171,-3.5522,-8.1846,4.5783,B
2.6353,-8.6725,4.9169,6.3280,7.2597,A
0.4642,2.8258,5.3144,9.8543,-1.7932,A
9.8764,-5.4788,0.1034,-2.9154,-1.1722,B
-2.1641,-7.7343,4.5457,3.7595,-8.2395,A
-3.0066,9.7713,9.5304,9.8934,0.3264,A
-0.9272,7.6612,3.8750,-0.9588,-2.4051,B
6.7704,-4.9606,7.6731,9.0087,-8.6505,A
-2.2894,9.4558,7.2679,8.1376,7.5337,B
-5.4835,-7.7140,4.7727,8.9980,-3.7402,A
-7.9855,-2.1800,-2.1758,9.4396,-3.6388,A
-4.5366,-7.3865,-8.3199,6.4988,-5.4992,A
-4.9843,-9.7234,4.8235,-9.1222,-1.2325,A
3.3308,-2.2893,-0.4355,-1.8652,8.9461,B
4.8498,1.3167,6.0582,-1.7433,-9.9977,A
6.5640,-9.2791,-9.9991,2.1274,9.9994,B
8.0514,3.6583,-6.8970,9.7357,7.6177,B
5.1654,5.4726,-0.0046,6.4527,-0.1450,A
-9.0610,-6.5416,0.7286,2.9468,-2.2992,A
-3.9470,5.6088,6.2771,0.7266,-5.2703,A
2.2467,6.7150,6.0741,2.7812,6.6952,B
-5.3888,4.7334,-8.5617,6.9057,-4.0901,A
-7.6664,6.0075,2.6476,-7.9986,8.0315,B
7.4496,1.6072,-0.4477,-6.9646,-7.1917,B
0.5657,-6.6016,-2.5749,7.9185,-6.8548,A
-8.4361,-8.6409,-6.8336,3.4007,2.0868,A
4.6847,1.7206,3.7176,-1.8433,3.8473,B
-8.8861,-3.3251,-9.5401,7.6824,-2.7539,A
0.7926,-4.7198,0.7159,6.5830,9.8162,A
-4.0567,8.9820,2.6830,2.2852,7.7318,B
5.6274,1.7470,2.0704,-0.2210,5.5234,B
9.0267,4.9264,-3.9095,-8.4162,5.2831,B
0.3429,1.4235,4.8737,9.3959,-3.3046,A
5.0242,-0.8427,9.5548,-1.1677,8.1374,B
0.4109,2.5203,4.9687,4.3525,3.6162,B
4.4708,-0.6982,-4.8934,-4.1990,7.5734,B
3.2994,-1.3810,8.0119,-5.2658,1.8425,B
-7.3564,3.8501,3.2229,8.9069,0.6040,A
1.5343,-6.6150,-5.0814,7.4788,3.9104,A
2.8371,-9.7963,-4.8329,2.3189,-9.3993,A
-2.3482,9.1409,-4.4490,6.6202,-4.7978,A
2.0229,8.2578,6.4563,-4.8230,-9.2219,B
-9.2128,2.7739,-7.7805,-2.6085,9.0808,B
0.2182,-3.3157,2.0608,-7.5763,-0.5025,B
-2.7306,5.3641,-8.2763,-1.8498,6.0015,B
-1.1257,5.7770,-6.6567,4.6619,0.2989,A
8.6759,0.3928,2.8815,6.7564,-0.3699,A
6.5914,1.3580,-1.1565,2.9120,-1.4074,B
1.9711,2.5788,-6.5625,-3.3542,-4.8576,B
-9.0071,-2.3500,2.6889,-3.6910,1.7475,A
7.4060,1.9692,-5.1872,-6.1778,-3.4179,B
2.9023,-7.9647,-9.8107,6.1590,1.0442,A
-3.5995,-0.5158,9.4049,-8.4646,-4.0143,B
3.2373,-7.9569,-7.5739,-8.7915,-0.9035,B
-4.5764,5.5983,8.3771,-8.5960,1.1121,B
-1.4535,8.1637,-0.4289,5.9724,-7.1503,A
-9.0000,-7.0910,-4.0431,3.8894,6.5290,A
-1.7658,6.1654,4.9883,3.3232,7.8436,B
1.0431,5.3251,5.7097,8.9475,8.2411,B
-5.8134,0.3328,2.5895,7.9067,-1.9312,A
1.0384,6.1557,-3.5274,-8.0211,-6.7955,B
8.8761,-9.5752,9.3007,-1.7487,-6.8832,B
6.4686,0.9204,-0.8928,1.6669,8.6708,B
4.6341,7.4258,-0.1974,-5.8811,-5.4139,B
8.1915,1.1190,6.1455,9.9705,-9.7143,A
-3.0634,-7.7942,2.5164,9.8353,-7.4535,A
-4.3908,-4.9661,4.3096,6.6290,-9.0503,A
-8.1925,6.9744,6.2066,3.0397,8.5059,B
-5.9947,6.7571,-3.1177,1.6886,4.3741,A
-9.8458,-5.2163,-4.5246,1.7140,1.5664,A
0.8353,-9.7296,1.2865,5.8478,1.7023,A
4.3354,9.8590,8.9936,4.0327,-5.9055,B
3.6999,1.5303,4.9450,-3.4856,-1.8298,B
9.3645,-3.3385,3.2830,-6.4170,7.2366,B
-8.8019,6.6442,6.9009,3.5852,5.2703,A
7.9327,8.3904,-8.2243,-9.3337,-8.1252,B
-3.6925,-6.5463,-2.4770,7.6685,0.7942,A
1.5844,-7.6905,3.1230,0.9378,0.7172,A
1.5345,-5.2674,0.1095,5.7631,3.3220,A
2.3406,-7.5876,-2.1648,8.7681,-3.7987,A
9.1361,5.4528,5.9688,0.2042,4.9402,B
-4.4217,-0.3410,-4.8431,9.6933,-6.9271,A
8.1627,1.2193,4.8046,-6.8379,9.7618,B
5.7869,0.6729,-4.8638,3.8202,5.7786,B
4.7192,1.6789,0.5539,2.8597,3.9051,B
5.7785,-9.1007,-2.8034,6.2495,0.0132,A
-3.7974,4.6064,1.1194,6.4384,-0.9490,A
7.1161,-2.8405,8.6606,-1.6478,-6.6563,B
6.5604,8.3852,8.7431,-4.3730,3.4421,B
-2.9373,-1.5285,0.8432,8.9156,-4.4864,A
-6.4942,4.0854,-1.4505,6.0524,8.0918,A
-8.5003,1.7784,9.2517,-8.3995,-4.4886,B
-1.3617,-5.2095,9.7636,4.8837,-5.0972,A
-1.0111,-1.9961,-5.9338,-4.3787,6.9864,B
-0.5307,-5.5897,-2.3133,-3.5510,2.0060,B
9.7531,-1.0413,0.4084,8.4342,-7.4703,A
3.1621,1.9370,-1.9035,9.8811,-1.9011,A
-8.2261,7.7112,-9.3582,3.9167,-4.2936,A
-3.9028,-8.4605,1.3314,-1.1435,6.3356,A
2.6829,-4.5100,5.1316,-1.9738,-1.9207,B
2.7639,3.1888,8.0285,-6.2905,1.5121,B
-2.8543,-3.1878,-0.5041,-1.1785,1.4660,A
-6.0953,5.3955,-3.4329,-1.4828,-8.9520,A
0.4345,7.6388,9.4175,-3.0150,-2.1989,B
2.0373,0.1745,-6.6476,3.4229,4.6704,A
-8.4272,-0.5926,4.8232,4.7459,4.2757,A
-4.5479,1.2093,-5.9698,-0.3887,0.4645,A
-7.4527,4.1031,-7.5931,8.2104,-7.8466,A
2.3823,8.3376,8.0792,5.3472,-8.2937,A
-9.0470,9.1747,7.2794,3.3201,-3.7994,A
1.2234,1.3228,8.3514,8.1998,1.3304,A
-8.9620,-0.9252,1.5887,5.3999,-3.1952,A
7.7575,0.4042,-3.4173,-1.8982,-4.7325,B
-8.8632,8.5039,-4.1749,-8.3115,8.5641,B
-4.5076,1.1325,-3.8246,0.9413,-8.8789,A
-9.8498,9.5804,2.7364,8.7963,9.2945,A
-0.1553,2.9400,-9.0549,1.6727,-5.9048,A
-8.4164,9.6648,3.0284,-8.6324,-2.2036,B
9.8152,7.0439,-1.9299,8.1724,-2.7736,B
7.4806,-4.6430,-1.3594,-9.9540,-0.5333,B
9.0394,2.0991,4.2482,2.7470,-3.0753,B
0.1997,-8.8916,9.8338,-5.7360,8.6067,B
-6.1271,-5.5273,4.7421,9.9243,1.3147,A
1.8749,-2.2841,1.6488,-0.8815,1.2445,B
2.7195,-7.7025,-8.8444,8.0748,5.8994,A
1.1769,-8.3405,-7.3544,-5.1821,8.8961,B
4.6306,-9.7585,-5.3311,-5.1893,6.4840,B
-8.3240,0.7149,-9.0793,-8.4950,-4.1824,A
-2.0471,-3.9566,5.7979,1.1716,-8.2660,A
3.8674,4.7516,-4.8702,-7.6262,7.1896,B
6.8475,2.0286,-6.4508,-5.5030,-6.7019,B
8.4966,9.2896,5.8288,-4.9450,3.9010,B
3.4399,4.1549,-6.8887,-7.0352,-9.1247,B
4.8641,-6.2452,-0.6636,4.5569,-0.3685,A
-8.3533,-7.8146,6.1727,0.1274,6.4161,A
6.2288,2.8391,-7.7687,-9.7469,-6.0997,B
-8.7093,9.8266,-6.8973,0.4629,-4.1239,A
-1.8743,9.5224,-6.9252,3.6391,-0.3968,A
-1.0335,1.5344,-3.7726,-7.3707,-0.9308,B
3.3619,4.8643,0.5204,3.9331,5.9388,B
5.1542,-5.1659,-0.2921,-0.2222,8.8600,B
-7.4417,8.6392,-8.5822,9.0641,2.6909,A
-8.7613,-8.7004,8.8400,-6.4632,-6.2443,A
-0.1467,1.0849,-5.2248,4.9104,-1.6992,A
9.6620,-5.3223,-2.0357,-8.1419,4.6401,B
8.1105,-0.1026,-2.8926,2.6838,-0.1102,B
-8.2090,9.7146,-4.2440,6.0142,4.8513,A
-2.4410,3.3267,-8.6011,-9.3943,2.5433,B
-4.3827,5.9165,2.1145,-7.9133,-8.0384,B
6.5852,-5.5769,-5.5315,-8.5138,8.4159,B
5.7777,-6.7018,-8.4100,-5.7223,1.7254,B
-4.1215,-6.6396,-2.3898,6.9382,-4.3949,A
-7.4997,-1.0069,0.8365,7.8286,5.6075,A
-4.6617,8.8239,-0.9562,4.3399,6.9135,B
-1.7508,4.5668,-2.9090,8.3039,-2.2229,A
5.8174,4.6592,-0.1379,1.6527,-0.8176,B
1.5083,-7.1542,9.2337,-5.9676,0.9279,B
-5.6149,0.1263,-1.1055,3.0857,9.6992,A
-7.4898,8.5143,2.9302,8.1434,-2.1641,A
-4.5355,3.8776,-7.4952,5.4769,-4.7870,A
6.9896,-0.0539,4.3961,-0.0901,1.3442,B
9.1656,5.8012,2.5365,-1.2030,7.6392,B
5.5820,6.3934,-0.4235,-7.7110,-4.7579,B
-6.6526,1.9871,-6.8738,-9.7341,0.8822,B
3.3039,-9.9882,0.1144,7.8206,8.9227,A
7.5231,9.0010,-5.0488,-4.6638,2.4766,B
-8.1506,-5.8740,3.0540,-3.4857,8.5218,A
3.9638,-5.4519,-3.2672,1.1353,7.2586,B
1.0164,9.2264,6.2954,-8.5129,9.3526,B
